LF-001|EP-035|scripts/live-fire/LF-001.sh|one-package-deployment|Deploy Nexus Core and a home edge from Nexus Setup using the local provider profile; assert owner login, health, private mesh, and fleet registration.
LF-002|EP-037|scripts/live-fire/LF-002.sh|restore-existing-nexus|Restore encrypted state onto a fresh deployment and prove identities, policies, memories, skills, and connectors reattach.
LF-003|EP-007|scripts/live-fire/LF-003.sh|owner-passkey-onboarding|Create an owner, enroll a passkey and recovery material, sign in, revoke the session, and verify audit records.
LF-004|EP-034|scripts/live-fire/LF-004.sh|multi-user-identity|Enroll two adults and one restricted user; prove separate context, permissions, preferences, and mobile devices.
LF-005|EP-033|scripts/live-fire/LF-005.sh|cross-device-continuity|Start an objective by voice, continue in the web dashboard, approve on mobile, and receive the final artifact in the same task graph.
LF-006|EP-020|scripts/live-fire/LF-006.sh|deterministic-home-control|Issue a known low-risk command; prove no model call occurred, Home Assistant changed state, Nexus verified state, and an audit event exists.
LF-007|EP-020|scripts/live-fire/LF-007.sh|conditional-home-workflow|Create a time and occupancy conditional command; prove Temporal persistence and correct execution or cancellation.
LF-008|EP-023|scripts/live-fire/LF-008.sh|visitor-response|Receive a camera person event, identify known or unknown, notify the right user, and play an approved response through two-way audio where certified.
LF-009|EP-031|scripts/live-fire/LF-009.sh|sentinel-quarantine|Detect a synthetic but real network-lab scan from an unknown device, correlate telemetry, request or apply policy-authorized quarantine, and verify isolation.
LF-010|EP-030|scripts/live-fire/LF-010.sh|network-diagnosis|Diagnose a controlled DNS or Wi-Fi fault from OPNsense or OpenWrt and AdGuard telemetry, explain evidence, and propose a reversible fix.
LF-011|EP-026|scripts/live-fire/LF-011.sh|email-lifecycle|Receive, search, summarize, draft, approve, send, and verify a real message through a certified mail provider.
LF-012|EP-025|scripts/live-fire/LF-012.sh|governed-phone-call|Place a real test call through Asterisk and a certified SIP provider, exchange speech with STT and TTS, honor disclosure, and store the governed transcript.
LF-013|EP-027|scripts/live-fire/LF-013.sh|fax-lifecycle|Send a real test fax through the certified profile, receive status callbacks, route inbound fax, and archive the artifact.
LF-014|EP-029|scripts/live-fire/LF-014.sh|social-campaign|Create platform-native variants, obtain approval, publish through a certified account, ingest engagement, and report attribution.
LF-015|EP-028|scripts/live-fire/LF-015.sh|hydra-cross-crm-command|Ask for hot leads across businesses, receive canonical Hydra context, propose a governed update, execute it, and consume the resulting Hydra event.
LF-016|EP-017|scripts/live-fire/LF-016.sh|coding-agent-cowork|Assign implementation to Codex, independent review to Claude Code, return an issue for correction, run tests, and produce a human-approved pull request artifact.
LF-017|EP-006|scripts/live-fire/LF-017.sh|durable-human-approval|Start a workflow, restart the worker while waiting, approve later from mobile, and prove exactly-once continuation.
LF-018|EP-018|scripts/live-fire/LF-018.sh|skill-install-and-run|Inspect, scan, approve, sign, install, discover, execute, and roll back a skill without granting undeclared capabilities.
LF-019|EP-019|scripts/live-fire/LF-019.sh|self-healing-fix-loop|Trigger a controlled defect, detect it through telemetry, reproduce, patch, test, review, request approval, canary, verify, and close or roll back.
LF-020|EP-037|scripts/live-fire/LF-020.sh|storage-backend-portability|Write versioned artifacts, migrate between local and one S3-compatible backend, verify hashes and metadata, and remove the old copy only after approval.
LF-021|EP-015|scripts/live-fire/LF-021.sh|model-provider-failover|Return a valid NexusControlObject through DeepSeek, disable the primary provider, fail over to a configured secondary, and preserve schemas, budgets, and trace IDs.
LF-022|EP-034|scripts/live-fire/LF-022.sh|mobile-step-up|Request a high-risk action by voice, refuse voice-only authorization, approve with mobile biometric and passkey, execute, and verify.
LF-023|EP-011|scripts/live-fire/LF-023.sh|legacy-sidecar-connector|Wrap a real local legacy protocol fixture outside production paths, discover capabilities, read state, issue an idempotent write, and receive a change event.
LF-024|EP-020|scripts/live-fire/LF-024.sh|offline-degraded-operation|Disconnect cloud AI and public internet while retaining local identity cache, low-risk home control, alerts, and queued synchronization.
LF-025|EP-028|scripts/live-fire/LF-025.sh|ceo-business-brief|Combine Hydra, social, communications, and finance connector data into a permission-filtered executive brief with source provenance.
LF-026|EP-022|scripts/live-fire/LF-026.sh|voice-endpoint-transfer|Start a conversation on a room satellite, move it to a Bluetooth headset or mobile endpoint, and maintain user, task, and privacy context.
LF-027|EP-029|scripts/live-fire/LF-027.sh|social-lead-to-crm|Classify a real certified social inquiry, create or link the canonical Hydra person and lead, draft a response, and record attribution.
LF-028|EP-021|scripts/live-fire/LF-028.sh|shared-room-private-response|Ask for sensitive personal information in an occupied room and prove Nexus routes the response privately rather than speaking it aloud.
LF-029|EP-044|scripts/live-fire/LF-029.sh|runtime-smoke|Start the real Nexus Control Plane Runtime, assert /healthz /readyz /v1/capabilities over real HTTP, and shut down gracefully.
